onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.525	1.5	5.934	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.409	probe	AX	s592	False
8.809	1.5	10.218	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.409	probe	AX	s592	False
12.821	1.5	14.355	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.534	probe	AY	s592	False
17.784	1.5	19.308	1.772	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.524	probe	AY	s592	False
22.064	1.5	23.53	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.466	probe	AX	s592	False
26.482	1.5	27.93	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.448	probe	AX	s592	False
30.904	1.5	32.368	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.464	probe	AX	s592	False
36.003	1.5	37.46	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.457	probe	AY	s592	False
40.014	1.5	41.576	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.562	probe	BY	s592	False
44.024	1.5	45.326	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.302	probe	BY	s592	False
48.038	1.5	49.433	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.395	probe	AX	s592	False
52.184	1.5	53.452	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.268	probe	BX	s592	False
56.739	1.5	58.127	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.388	probe	AX	s592	False
61.022	1.5	62.356	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.334	probe	BX	s592	False
66.121	1.5	67.91	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.789	probe	AY	s592	False
70.134	1.5	71.648	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.514	probe	AX	s592	False
