onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.509	1.5	5.94	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.431	probe	AX	s234	False
8.788	1.5	10.423	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.635	probe	AX	s234	False
12.794	1.5	14.568	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.774	probe	AY	s234	False
17.752	1.5	19.347	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.595	probe	AY	s234	False
22.032	1.5	23.668	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.636	probe	AX	s234	False
26.447	1.5	27.955	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.508	probe	AX	s234	False
30.862	1.5	32.428	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.566	probe	AX	s234	False
35.957	1.5	37.463	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.506	probe	AY	s234	False
39.963	1.5	41.907	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.944	probe	BY	s234	False
43.968	1.5	45.443	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.475	probe	BY	s234	False
47.974	1.5	49.526	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.552	probe	AX	s234	False
52.116	1.5	53.869	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.753	probe	BX	s234	False
56.665	1.5	58.128	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.463	probe	AX	s234	False
60.945	1.5	62.807	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.862	probe	BX	s234	False
66.039	1.5	67.531	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.492	probe	AY	s234	False
70.044	1.5	71.439	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.395	probe	AX	s234	False
75.002	1.5	76.539	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.537	probe	BY	s234	False
79.143	1.5	80.623	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.48	probe	AX	s234	False
83.285	1.5	84.623	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.338	probe	AX	s234	False
87.293	1.5	88.953	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.66	probe	BY	s234	False
91.435	1.5	92.841	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.406	probe	AX	s234	False
95.441	1.5	96.939	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.498	probe	AY	s234	False
100.13	1.5	101.541	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.411	probe	AX	s234	False
104.136	1.5	105.755	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.619	probe	AX	s234	False
108.549	1.5	110.08	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.531	probe	BY	s234	False
112.692	1.5	114.239	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.547	probe	BY	s234	False
116.832	1.5	118.237	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s234	False
120.974	1.5	122.441	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.467	probe	AX	s234	False
124.979	1.5	126.642	2.044	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.663	probe	BY	s234	False
129.529	1.5	131.023	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.494	probe	AY	s234	False
134.217	1.5	135.599	1.636	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.382	probe	AY	s234	False
138.359	1.5	140.121	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.762	probe	AY	s234	False
142.636	1.5	144.809	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	1.173	probe	BY	s234	False
146.641	1.5	148.128	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.487	probe	BX	s234	False
151.055	1.5	152.4	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.345	probe	AX	s234	False
155.605	1.5	157.163	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.558	probe	AX	s234	False
159.747	1.5	161.252	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.505	probe	AX	s234	False
164.025	1.5	165.478	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.453	probe	AX	s234	False
168.168	1.5	169.446	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.278	probe	BX	s234	False
172.448	1.5	174.155	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.707	probe	AX	s234	False
186.96	1.5	188.368	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.408	probe	BY	s234	False
191.103	1.5	192.845	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.742	probe	AY	s234	False
195.108	1.5	196.847	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.739	probe	AX	s234	False
199.66	1.5	200.919	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.259	probe	BY	s234	False
203.938	1.5	205.656	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.718	probe	BX	s234	False
208.081	1.5	209.406	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.325	probe	AX	s234	False
212.224	1.5	213.753	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.529	probe	AX	s234	False
216.231	1.5	217.65	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.419	probe	AX	s234	False
220.236	1.5	221.92	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.684	probe	AY	s234	False
224.785	1.5	226.253	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.468	probe	AX	s234	False
229.743	1.5	231.266	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.523	probe	AX	s234	False
234.157	1.5	235.557	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s234	False
238.162	1.5	239.567	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s234	False
242.576	1.5	244.073	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.497	probe	BX	s234	False
247.261	1.5	248.637	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.376	probe	AX	s234	False
251.267	1.5	252.756	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.489	probe	BY	s234	False
255.681	1.5	257.029	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.348	probe	BX	s234	False
260.503	1.5	262.0	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.497	probe	AY	s234	False
265.326	1.5	267.277	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.951	probe	BX	s234	False
269.468	1.5	271.054	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.586	probe	AY	s234	False
273.473	1.5	274.875	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.402	probe	BY	s234	False
277.887	1.5	279.301	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.414	probe	AX	s234	False
281.892	1.5	283.283	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.391	probe	AY	s234	False
286.714	1.5	288.123	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.409	probe	AX	s234	False
290.719	1.5	292.239	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.52	probe	AY	s234	False
295.949	1.5	297.357	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.408	probe	AX	s234	False
299.954	1.5	301.413	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.459	probe	AX	s234	False
304.096	1.5	305.521	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.425	probe	AX	s234	False
308.238	1.5	309.729	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.491	probe	AX	s234	False
312.517	1.5	314.012	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.495	probe	BY	s234	False
316.795	1.5	318.143	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.348	probe	AX	s234	False
320.8	1.5	322.248	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.448	probe	BY	s234	False
325.758	1.5	327.192	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.434	probe	AX	s234	False
329.901	1.5	331.383	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.482	probe	AX	s234	False
334.043	1.5	335.467	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.424	probe	BX	s234	False
338.049	1.5	339.468	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.419	probe	BX	s234	False
342.056	1.5	343.434	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.378	probe	AX	s234	False
346.879	1.5	348.322	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.443	probe	AY	s234	False
351.429	1.5	352.828	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.399	probe	AX	s234	False
357.884	1.5	359.344	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.46	probe	AX	s234	False
373.531	1.5	374.964	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.433	probe	AY	s234	False
377.672	1.5	379.066	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.394	probe	AX	s234	False
381.815	1.5	383.22	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s234	False
385.821	1.5	387.272	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.451	probe	AX	s234	False
389.828	1.5	391.383	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.555	probe	AX	s234	False
394.242	1.5	395.608	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.366	probe	BX	s234	False
398.383	1.5	399.86	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.477	probe	AX	s234	False
402.933	1.5	404.428	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.495	probe	AX	s234	False
407.21	1.5	408.646	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.436	probe	AX	s234	False
411.216	1.5	412.818	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.602	probe	AX	s234	False
415.902	1.5	417.339	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.437	probe	AX	s234	False
419.908	1.5	421.535	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.627	probe	BX	s234	False
426.091	1.5	427.693	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.602	probe	BY	s234	False
430.232	1.5	431.57	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.338	probe	BY	s234	False
434.373	1.5	435.731	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.358	probe	BX	s234	False
438.38	1.5	439.89	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.51	probe	AX	s234	False
442.793	1.5	444.173	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.38	probe	AX	s234	False
446.934	1.5	448.296	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.362	probe	BX	s234	False
450.941	1.5	452.866	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.925	probe	AX	s234	False
455.356	1.5	457.109	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.753	probe	BY	s234	False
460.043	1.5	461.406	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.363	probe	AX	s234	False
464.321	1.5	465.776	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.455	probe	AX	s234	False
468.327	1.5	469.707	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.38	probe	AX	s234	False
472.333	1.5	473.94	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.607	probe	AX	s234	False
476.882	1.5	478.289	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.407	probe	AX	s234	False
482.248	1.5	483.855	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.607	probe	BX	s234	False
486.253	1.5	487.822	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.569	probe	BY	s234	False
490.531	1.5	491.897	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.366	probe	AX	s234	False
494.808	1.5	496.241	2.86	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.433	probe	AX	s234	False
500.175	1.5	501.539	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.364	probe	AX	s234	False
504.454	1.5	505.737	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.283	probe	BX	s234	False
508.596	1.5	510.076	2.452	BX	0.0	71.0	dot_pattern_expectancy	89.0	0.48	probe	BX	s234	False
513.553	1.5	514.856	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.303	probe	AX	s234	False
517.695	1.5	519.228	1.5	BX	0.0	71.0	dot_pattern_expectancy	89.0	0.533	probe	BX	s234	False
521.7	1.5	523.07	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.37	probe	AX	s234	False
525.841	1.5	527.168	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.327	probe	AX	s234	False
529.982	1.5	531.665	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.683	probe	BY	s234	False
534.669	1.5	536.122	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.453	probe	AX	s234	False
538.675	1.5	540.23	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.555	probe	AY	s234	False
542.818	1.5	544.205	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.387	probe	AX	s234	False
557.467	1.5	558.858	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.391	probe	AX	s234	False
562.154	1.5	563.608	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.454	probe	AY	s234	False
566.976	1.5	568.555	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.579	probe	AY	s234	False
571.118	1.5	572.406	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.288	probe	BX	s234	False
575.532	1.5	576.925	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s234	False
581.579	1.5	582.953	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.374	probe	BX	s234	False
585.722	1.5	587.047	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.325	probe	BY	s234	False
589.728	1.5	591.121	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s234	False
593.735	1.5	595.178	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.443	probe	AX	s234	False
598.011	1.5	599.301	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.29	probe	BY	s234	False
602.97	1.5	604.349	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.379	probe	AX	s234	False
607.384	1.5	609.035	1.636	BX	0.0	71.0	dot_pattern_expectancy	89.0	0.651	probe	BX	s234	False
611.526	1.5	612.972	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.446	probe	AX	s234	False
615.533	1.5	617.185	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.652	probe	AX	s234	False
619.675	1.5	621.117	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.442	probe	AX	s234	False
623.816	1.5	625.162	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.346	probe	BY	s234	False
628.774	1.5	630.179	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s234	False
632.78	1.5	634.516	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.736	probe	BY	s234	False
636.787	1.5	638.408	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.621	probe	AX	s234	False
640.929	1.5	642.473	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.544	probe	AX	s234	False
645.07	1.5	646.069	1.636	AY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	AY	s234	False
