onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.521	1.5	6.124	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.603	probe	AX	s585	False
9.207	1.5	10.944	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.737	probe	AY	s585	False
14.036	1.5	15.766	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.73	probe	AY	s585	False
18.181	1.5	19.493	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.312	probe	BX	s585	False
22.597	1.5	24.273	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.676	probe	AX	s585	False
28.644	1.5	29.888	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.244	probe	BX	s585	False
32.792	1.5	34.016	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.224	probe	BY	s585	False
36.808	1.5	38.238	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.43	probe	AX	s585	False
40.824	1.5	42.238	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.414	probe	AX	s585	False
45.11	1.5	46.318	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.208	probe	BY	s585	False
50.075	1.5	51.439	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.364	probe	AX	s585	False
54.491	1.5	55.749	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.258	probe	BX	s585	False
58.638	1.5	60.011	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.373	probe	AX	s585	False
62.646	1.5	63.98	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.334	probe	AX	s585	False
66.795	1.5	68.167	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.372	probe	AX	s585	False
70.94	1.5	72.191	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.251	probe	BY	s585	False
75.903	1.5	77.244	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s585	False
79.916	1.5	81.129	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.213	probe	BY	s585	False
83.93	1.5	85.299	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s585	False
88.074	1.5	89.415	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s585	False
92.221	1.5	93.749	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.528	probe	AY	s585	False
