onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.51	1.5	6.216	1.772	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.706	probe	AX	s525	False
8.788	1.5	10.376	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.588	probe	AX	s525	False
12.794	1.5	14.369	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.575	probe	AY	s525	False
17.752	1.5	19.488	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.736	probe	AY	s525	False
22.031	1.5	23.563	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.532	probe	AX	s525	False
26.445	1.5	27.835	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.39	probe	AX	s525	False
30.858	1.5	32.237	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.379	probe	AX	s525	False
35.952	1.5	37.505	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.553	probe	AY	s525	False
39.957	1.5	41.202	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.245	probe	BY	s525	False
43.964	1.5	45.586	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.622	probe	BY	s525	False
47.971	1.5	49.384	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.413	probe	AX	s525	False
52.112	1.5	53.352	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.24	probe	BX	s525	False
56.662	1.5	58.158	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.496	probe	AX	s525	False
60.939	1.5	62.276	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.337	probe	BX	s525	False
66.033	1.5	67.464	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.431	probe	AY	s525	False
70.039	1.5	71.405	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.366	probe	AX	s525	False
74.998	1.5	76.547	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.549	probe	BY	s525	False
79.14	1.5	80.554	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.414	probe	AX	s525	False
83.281	1.5	84.771	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.49	probe	AX	s525	False
87.288	1.5	88.893	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.605	probe	BY	s525	False
91.431	1.5	92.781	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.35	probe	AX	s525	False
95.437	1.5	96.923	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.486	probe	AY	s525	False
100.126	1.5	101.483	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.357	probe	AX	s525	False
104.133	1.5	105.508	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.375	probe	AX	s525	False
108.546	1.5	109.753	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.207	probe	BY	s525	False
112.688	1.5	113.942	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.254	probe	BY	s525	False
116.83	1.5	118.329	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.499	probe	AX	s525	False
120.973	1.5	122.502	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.529	probe	AX	s525	False
124.979	1.5	126.312	2.044	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.333	probe	BY	s525	False
129.528	1.5	131.144	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.616	probe	AY	s525	False
134.214	1.5	136.115	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.901	probe	AY	s525	False
138.355	1.5	139.912	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.557	probe	AY	s525	False
142.633	1.5	144.09	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.457	probe	BY	s525	False
146.638	1.5	148.092	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.454	probe	BX	s525	False
151.052	1.5	152.416	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.364	probe	AX	s525	False
155.603	1.5	156.964	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.361	probe	AX	s525	False
