onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.525	1.5	5.912	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.387	probe	AX	s593	False
8.807	1.5	10.143	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.336	probe	AX	s593	False
12.82	1.5	14.257	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.437	probe	AY	s593	False
17.783	1.5	19.216	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.433	probe	AY	s593	False
22.064	1.5	23.418	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.354	probe	AX	s593	False
26.485	1.5	27.893	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.408	probe	AX	s593	False
30.904	1.5	32.353	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.449	probe	AX	s593	False
36.003	1.5	37.478	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.475	probe	AY	s593	False
40.014	1.5	41.252	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.238	probe	BY	s593	False
44.032	1.5	45.257	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.225	probe	BY	s593	False
48.043	1.5	49.39	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s593	False
52.19	1.5	53.422	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.232	probe	BX	s593	False
56.741	1.5	58.125	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.384	probe	AX	s593	False
61.028	1.5	62.351	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.323	probe	BX	s593	False
66.129	1.5	67.622	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.493	probe	AY	s593	False
70.145	1.5	71.601	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.456	probe	AX	s593	False
75.105	1.5	76.39	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.285	probe	BY	s593	False
79.249	1.5	80.61	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.361	probe	AX	s593	False
83.398	1.5	84.735	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.337	probe	AX	s593	False
87.409	1.5	88.664	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.255	probe	BY	s593	False
91.556	1.5	92.93	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.374	probe	AX	s593	False
95.57	1.5	96.961	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.391	probe	AY	s593	False
100.266	1.5	101.735	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.469	probe	AX	s593	False
104.28	1.5	105.647	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.367	probe	AX	s593	False
108.701	1.5	110.027	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.326	probe	BY	s593	False
112.85	1.5	114.171	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.321	probe	BY	s593	False
116.994	1.5	118.33	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.336	probe	AX	s593	False
121.143	1.5	122.543	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s593	False
125.157	1.5	126.411	2.044	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.254	probe	BY	s593	False
129.715	1.5	131.164	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.449	probe	AY	s593	False
134.405	1.5	135.837	1.636	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.432	probe	AY	s593	False
138.553	1.5	139.96	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.407	probe	AY	s593	False
142.836	1.5	144.189	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.353	probe	BY	s593	False
146.846	1.5	148.114	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.268	probe	BX	s593	False
151.264	1.5	152.692	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.428	probe	AX	s593	False
155.817	1.5	157.242	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.425	probe	AX	s593	False
159.963	1.5	161.445	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.482	probe	AX	s593	False
164.243	1.5	165.728	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.485	probe	AX	s593	False
168.39	1.5	169.633	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.243	probe	BX	s593	False
172.675	1.5	174.04	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.365	probe	AX	s593	False
187.193	1.5	188.503	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.31	probe	BY	s593	False
191.34	1.5	192.809	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.469	probe	AY	s593	False
195.351	1.5	196.705	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.354	probe	AX	s593	False
199.906	1.5	201.17	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.264	probe	BY	s593	False
204.186	1.5	205.465	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.279	probe	BX	s593	False
208.33	1.5	209.681	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.351	probe	AX	s593	False
212.482	1.5	213.858	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.376	probe	AX	s593	False
216.487	1.5	217.928	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.441	probe	AX	s593	False
220.497	1.5	221.987	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.49	probe	AY	s593	False
225.05	1.5	226.537	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.487	probe	AX	s593	False
230.011	1.5	231.385	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.374	probe	AX	s593	False
234.431	1.5	235.796	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.365	probe	AX	s593	False
238.443	1.5	239.806	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.363	probe	AX	s593	False
242.864	1.5	244.121	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.257	probe	BX	s593	False
247.55	1.5	248.902	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.352	probe	AX	s593	False
251.563	1.5	252.817	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.254	probe	BY	s593	False
255.987	1.5	257.256	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.269	probe	BX	s593	False
260.814	1.5	262.422	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.608	probe	AY	s593	False
265.643	1.5	266.889	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.246	probe	BX	s593	False
269.79	1.5	271.206	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.416	probe	AY	s593	False
273.8	1.5	275.076	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.276	probe	BY	s593	False
278.225	1.5	279.578	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.353	probe	AX	s593	False
282.239	1.5	283.632	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.393	probe	AY	s593	False
287.067	1.5	288.422	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.355	probe	AX	s593	False
291.079	1.5	292.485	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.406	probe	AY	s593	False
296.316	1.5	297.735	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.419	probe	AX	s593	False
300.327	1.5	301.726	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.399	probe	AX	s593	False
304.475	1.5	305.816	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s593	False
308.623	1.5	310.119	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.496	probe	AX	s593	False
312.906	1.5	314.131	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.225	probe	BY	s593	False
317.189	1.5	318.53	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s593	False
321.197	1.5	322.518	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.321	probe	BY	s593	False
326.154	1.5	327.53	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.376	probe	AX	s593	False
330.301	1.5	331.634	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.333	probe	AX	s593	False
334.447	1.5	335.693	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.246	probe	BX	s593	False
338.457	1.5	339.752	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.295	probe	BX	s593	False
342.47	1.5	343.842	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.372	probe	AX	s593	False
347.296	1.5	348.723	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.427	probe	AY	s593	False
351.851	1.5	353.299	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.448	probe	AX	s593	False
358.312	1.5	359.678	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.366	probe	AX	s593	False
372.974	1.5	374.386	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.412	probe	AY	s593	False
377.129	1.5	378.468	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.339	probe	AX	s593	False
