onset	duration	choice	experiment_exp_id	key_press	large_amount	later_delay	response_time	small_amount	trial_type	worker_id
3.021	4.0	smaller_sooner	discount_fixed	71	67.0	74.0	1.281	20.0	smaller_sooner	s638_2
7.663	4.0	smaller_sooner	discount_fixed	71	29.0	58.0	1.336	20.0	smaller_sooner	s638_2
12.985	4.0	smaller_sooner	discount_fixed	71	39.0	104.0	1.507	20.0	smaller_sooner	s638_2
17.963	4.0	smaller_sooner	discount_fixed	71	33.0	103.0	0.957	20.0	smaller_sooner	s638_2
22.536	4.0	smaller_sooner	discount_fixed	71	33.0	78.0	1.585	20.0	smaller_sooner	s638_2
28.062	4.0	larger_later	discount_fixed	89	74.0	52.0	3.644	20.0	larger_later	s638_2
33.652	4.0	smaller_sooner	discount_fixed	71	28.0	132.0	0.929	20.0	smaller_sooner	s638_2
39.45	4.0	smaller_sooner	discount_fixed	71	28.0	59.0	0.893	20.0	smaller_sooner	s638_2
44.021	4.0	smaller_sooner	discount_fixed	71	28.0	163.0	0.681	20.0	smaller_sooner	s638_2
49.139	4.0	larger_later	discount_fixed	89	32.0	74.0	2.672	20.0	larger_later	s638_2
53.642	4.0	larger_later	discount_fixed	89	57.0	89.0	1.204	20.0	larger_later	s638_2
58.485	4.0	larger_later	discount_fixed	89	70.0	108.0	0.937	20.0	larger_later	s638_2
63.056	4.0	smaller_sooner	discount_fixed	71	72.0	95.0	1.937	20.0	smaller_sooner	s638_2
68.446	4.0	smaller_sooner	discount_fixed	71	30.0	36.0	2.277	20.0	smaller_sooner	s638_2
73.496	4.0	larger_later	discount_fixed	89	41.0	129.0	2.602	20.0	larger_later	s638_2
78.204	4.0	larger_later	discount_fixed	89	78.0	129.0	1.018	20.0	larger_later	s638_2
83.115	4.0	smaller_sooner	discount_fixed	71	71.0	88.0	2.523	20.0	smaller_sooner	s638_2
88.026	4.0	larger_later	discount_fixed	89	65.0	159.0	0.657	20.0	larger_later	s638_2
92.869	4.0	smaller_sooner	discount_fixed	71	24.0	125.0	1.945	20.0	smaller_sooner	s638_2
97.983	4.0	smaller_sooner	discount_fixed	71	58.0	36.0	1.518	20.0	smaller_sooner	s638_2
103.1	4.0	larger_later	discount_fixed	89	63.0	37.0	0.981	20.0	larger_later	s638_2
107.807	4.0	smaller_sooner	discount_fixed	71	75.0	41.0	1.941	20.0	smaller_sooner	s638_2
112.65	4.0	larger_later	discount_fixed	89	45.0	72.0	1.519	20.0	larger_later	s638_2
