onset	duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	stim_color	stim_word	trial_type	worker_id
3.525	1.5	incongruent	1.0	82.0	stroop	82	1.18	green	red	incongruent	s638_2
5.53	1.5	congruent	1.0	82.0	stroop	82	0.635	green	green	congruent	s638_2
8.077	1.5	congruent	1.0	71.0	stroop	71	0.488	blue	blue	congruent	s638_2
10.218	1.5	congruent	1.0	82.0	stroop	82	0.544	green	green	congruent	s638_2
12.223	1.5	congruent	1.0	71.0	stroop	71	0.51	blue	blue	congruent	s638_2
14.229	1.5	congruent	1.0	82.0	stroop	82	0.534	green	green	congruent	s638_2
16.506	1.5	incongruent	0.0	82.0	stroop	89	0.531	green	red	incongruent	s638_2
18.511	1.5	congruent	1.0	89.0	stroop	89	0.637	red	red	congruent	s638_2
20.514	1.5	incongruent	1.0	71.0	stroop	71	0.828	blue	red	incongruent	s638_2
22.655	1.5	incongruent	1.0	89.0	stroop	89	1.118	red	blue	incongruent	s638_2
24.66	1.5	incongruent	1.0	71.0	stroop	71	0.829	blue	red	incongruent	s638_2
26.935	1.5	congruent	1.0	89.0	stroop	89	0.677	red	red	congruent	s638_2
29.074	1.5	incongruent	1.0	82.0	stroop	82	0.671	green	red	incongruent	s638_2
31.487	1.5	congruent	1.0	82.0	stroop	82	0.51	green	green	congruent	s638_2
33.492	1.5	congruent	1.0	71.0	stroop	71	0.502	blue	blue	congruent	s638_2
35.498	1.5	incongruent	1.0	89.0	stroop	89	0.709	red	green	incongruent	s638_2
38.319	1.5	incongruent	1.0	89.0	stroop	89	0.833	red	blue	incongruent	s638_2
40.323	1.5	incongruent	1.0	82.0	stroop	82	0.933	green	red	incongruent	s638_2
42.327	1.5	congruent	1.0	82.0	stroop	82	0.497	green	green	congruent	s638_2
44.468	1.5	congruent	1.0	82.0	stroop	82	0.493	green	green	congruent	s638_2
46.473	1.5	incongruent	1.0	71.0	stroop	71	0.693	blue	green	incongruent	s638_2
48.479	1.5	congruent	1.0	82.0	stroop	82	0.573	green	green	congruent	s638_2
50.484	1.5	incongruent	1.0	89.0	stroop	89	0.653	red	green	incongruent	s638_2
52.489	1.5	congruent	1.0	82.0	stroop	82	0.559	green	green	congruent	s638_2
54.494	1.5	incongruent	1.0	82.0	stroop	82	1.014	green	blue	incongruent	s638_2
56.499	1.5	congruent	1.0	82.0	stroop	82	0.503	green	green	congruent	s638_2
58.505	1.5	incongruent	1.0	71.0	stroop	71	0.746	blue	red	incongruent	s638_2
60.782	1.5	incongruent	1.0	71.0	stroop	71	0.595	blue	green	incongruent	s638_2
62.787	1.5	congruent	1.0	82.0	stroop	82	0.513	green	green	congruent	s638_2
64.926	1.5	congruent	1.0	89.0	stroop	89	0.523	red	red	congruent	s638_2
66.929	1.5	congruent	1.0	71.0	stroop	71	0.555	blue	blue	congruent	s638_2
69.07	1.5	congruent	1.0	82.0	stroop	82	0.449	green	green	congruent	s638_2
71.076	1.5	congruent	1.0	82.0	stroop	82	0.583	green	green	congruent	s638_2
73.081	1.5	incongruent	1.0	71.0	stroop	71	0.754	blue	red	incongruent	s638_2
