onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.511	1.5	6.469	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.958	probe	AX	s465	False
9.197	1.5	10.996	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.799	probe	AY	s465	False
14.02	1.5	15.891	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.871	probe	AY	s465	False
18.162	1.5	19.989	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.827	probe	BX	s465	False
22.575	1.5	24.34	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.765	probe	AX	s465	False
28.622	1.5	30.341	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.719	probe	BX	s465	False
32.765	1.5	34.641	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.876	probe	BY	s465	False
36.771	1.5	38.879	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.108	probe	AX	s465	False
40.778	1.5	42.57	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.792	probe	AX	s465	False
45.057	1.5	46.897	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.84	probe	BY	s465	False
50.017	1.5	51.863	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.846	probe	AX	s465	False
54.432	1.5	56.316	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.884	probe	BX	s465	False
58.574	1.5	60.428	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.854	probe	AX	s465	False
62.581	1.5	64.374	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.793	probe	AX	s465	False
66.723	1.5	68.538	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.815	probe	AX	s465	False
70.865	1.5	72.705	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.84	probe	BY	s465	False
75.822	1.5	77.829	1.5	AX	0.0	89.0	dot_pattern_expectancy	71.0	1.007	probe	AX	s465	False
79.83	1.5	81.651	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.821	probe	BY	s465	False
83.835	1.5	85.601	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.766	probe	AX	s465	False
87.977	1.5	89.756	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.779	probe	AX	s465	False
92.118	1.5	93.961	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.843	probe	AY	s465	False
96.26	1.5	98.015	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.755	probe	AX	s465	False
100.269	1.5	102.025	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.756	probe	AX	s465	False
104.276	1.5	105.861	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.585	probe	AX	s465	False
108.555	1.5	110.101	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.546	probe	AX	s465	False
113.242	1.5	114.669	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.427	probe	BX	s465	False
117.521	1.5	119.331	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.81	probe	BY	s465	False
121.528	1.5	123.333	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.805	probe	AX	s465	False
125.535	1.5	127.096	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.561	probe	AX	s465	False
129.677	1.5	131.351	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.674	probe	AY	s465	False
134.364	1.5	136.065	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.701	probe	AY	s465	False
139.186	1.5	140.988	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.802	probe	BX	s465	False
143.327	1.5	145.071	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.744	probe	BX	s465	False
148.013	1.5	149.785	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.772	probe	AY	s465	False
152.562	1.5	154.536	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.974	probe	AX	s465	False
156.84	1.5	158.533	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.693	probe	AX	s465	False
160.844	1.5	162.321	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.477	probe	AX	s465	False
165.53	1.5	167.167	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.637	probe	AY	s465	False
170.488	1.5	172.304	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.816	probe	AX	s465	False
174.629	1.5	176.211	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.582	probe	AX	s465	False
