onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.532	1.5	6.179	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.647	probe	BY	s636	False
8.685	1.5	10.368	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.683	probe	AY	s636	False
12.702	1.5	14.166	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.464	probe	AX	s636	False
17.263	1.5	18.627	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.364	probe	BY	s636	False
21.55	1.5	22.914	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.364	probe	BX	s636	False
25.704	1.5	27.175	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.471	probe	AX	s636	False
29.856	1.5	31.355	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.499	probe	AX	s636	False
33.873	1.5	35.329	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.456	probe	AX	s636	False
37.888	1.5	39.635	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.747	probe	AY	s636	False
42.448	1.5	44.233	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.785	probe	AX	s636	False
47.413	1.5	49.264	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.851	probe	AX	s636	False
51.837	1.5	53.439	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.602	probe	AX	s636	False
55.854	1.5	57.417	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.563	probe	AX	s636	False
60.278	1.5	61.664	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.386	probe	BX	s636	False
64.972	1.5	66.687	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.715	probe	AX	s636	False
68.987	1.5	70.435	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.448	probe	BY	s636	False
73.411	1.5	74.999	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.588	probe	BX	s636	False
78.243	1.5	80.06	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.817	probe	AY	s636	False
83.073	1.5	84.831	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.758	probe	BX	s636	False
87.226	1.5	89.467	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	1.241	probe	AY	s636	False
91.243	1.5	93.038	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.795	probe	BY	s636	False
95.668	1.5	97.081	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.413	probe	AX	s636	False
99.681	1.5	101.481	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.8	probe	AY	s636	False
104.513	1.5	106.849	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.336	probe	AX	s636	False
108.53	1.5	110.24	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.71	probe	AY	s636	False
113.771	1.5	115.397	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.626	probe	AX	s636	False
117.788	1.5	119.505	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.717	probe	AX	s636	False
121.94	1.5	123.611	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.671	probe	AX	s636	False
126.093	1.5	127.599	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.506	probe	AX	s636	False
130.383	1.5	131.955	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.572	probe	BY	s636	False
134.672	1.5	136.318	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.646	probe	AX	s636	False
138.686	1.5	140.154	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.468	probe	BY	s636	False
143.655	1.5	145.29	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.635	probe	AX	s636	False
147.808	1.5	149.47	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.662	probe	AX	s636	False
151.961	1.5	153.251	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.29	probe	BX	s636	False
155.975	1.5	157.511	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.536	probe	BX	s636	False
159.99	1.5	161.48	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.49	probe	AX	s636	False
164.824	1.5	166.58	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.756	probe	AY	s636	False
169.383	1.5	171.074	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.691	probe	AX	s636	False
175.845	1.5	177.274	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.429	probe	AX	s636	False
190.511	1.5	192.29	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.779	probe	AY	s636	False
194.663	1.5	196.901	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.238	probe	AX	s636	False
198.813	1.5	200.416	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.603	probe	AX	s636	False
202.829	1.5	204.4	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.571	probe	AX	s636	False
206.846	1.5	208.246	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s636	False
211.269	1.5	212.827	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.558	probe	BX	s636	False
215.422	1.5	217.15	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.728	probe	AX	s636	False
219.978	1.5	221.538	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.56	probe	AX	s636	False
224.267	1.5	225.817	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.55	probe	AX	s636	False
228.283	1.5	229.893	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.61	probe	AX	s636	False
232.979	1.5	234.373	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.394	probe	AX	s636	False
