onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.526	1.5	6.044	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.518	probe	AY	s610	False
8.677	1.5	10.13	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.453	probe	AX	s610	False
12.83	1.5	14.275	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.445	probe	AX	s610	False
16.838	1.5	18.258	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.42	probe	AX	s610	False
20.851	1.5	22.349	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.498	probe	AX	s610	False
25.269	1.5	26.814	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.545	probe	BX	s610	False
29.416	1.5	30.996	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.58	probe	AX	s610	False
33.966	1.5	35.415	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.449	probe	AX	s610	False
38.252	1.5	39.77	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.518	probe	AX	s610	False
42.265	1.5	43.721	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.456	probe	AX	s610	False
46.96	1.5	48.333	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.373	probe	AX	s610	False
50.972	1.5	52.419	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.447	probe	BX	s610	False
57.157	1.5	59.006	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.849	probe	BY	s610	False
61.301	1.5	62.609	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.308	probe	BY	s610	False
65.447	1.5	67.267	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.82	probe	BX	s610	False
69.461	1.5	70.83	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s610	False
73.88	1.5	75.337	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.457	probe	AX	s610	False
78.03	1.5	79.604	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.574	probe	BX	s610	False
82.046	1.5	83.597	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.551	probe	AX	s610	False
86.467	1.5	87.758	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.291	probe	BY	s610	False
91.162	1.5	92.555	1.772	AX	0.0	89.0	dot_pattern_expectancy	71.0	0.393	probe	AX	s610	False
95.443	1.5	96.78	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.337	probe	AX	s610	False
99.46	1.5	100.798	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.338	probe	AX	s610	False
