onset	duration	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.009	13.084	13.084	16.093	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	13.084	to_hand	poldrack-single-stim	s650	False
16.094	0.1	4.406	20.5	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	4.406	to_board	poldrack-single-stim	s650	False
20.502	0.1	2.856	23.358	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	2.856	to_hand	poldrack-single-stim	s650	False
23.36	0.1	0.569	23.929	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	0.569	to_board	poldrack-single-stim	s650	False
23.93	0.1	1.068	24.998	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.068	to_hand	poldrack-single-stim	s650	False
24.999	0.1	0.388	25.387	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.388	to_board	poldrack-single-stim	s650	False
25.391	0.1	1.846	27.237	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.846	to_hand	poldrack-single-stim	s650	False
27.239	0.1	0.278	27.517	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.278	to_board	poldrack-single-stim	s650	False
27.521	1.0	2.5	27.52	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s650	False
30.024	5.057	5.057	35.081	1	UA_with_intermediate	practice	ward_and_allport	71	1.0	5.057	to_hand	poldrack-single-stim	s650	False
35.082	0.1	3.346	38.428	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	3.346	to_board	poldrack-single-stim	s650	False
38.43	0.1	1.359	39.789	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	1.359	to_hand	poldrack-single-stim	s650	False
39.791	0.1	0.321	40.112	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.321	to_board	poldrack-single-stim	s650	False
40.113	0.1	1.502	41.615	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.502	to_hand	poldrack-single-stim	s650	False
41.617	0.1	0.534	42.151	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.534	to_board	poldrack-single-stim	s650	False
42.153	0.1	0.638	42.791	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.638	to_hand	poldrack-single-stim	s650	False
42.793	0.1	2.401	45.194	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	2.401	to_board	poldrack-single-stim	s650	False
45.198	1.0	2.1	45.197	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s650	False
47.301	3.395	3.395	50.696	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	3.395	to_hand	poldrack-single-stim	s650	False
50.697	0.1	0.492	51.189	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.492	to_board	poldrack-single-stim	s650	False
51.191	0.1	1.55	52.741	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.55	to_hand	poldrack-single-stim	s650	False
52.742	0.1	0.437	53.179	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.437	to_board	poldrack-single-stim	s650	False
53.182	0.1	1.622	54.804	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.622	to_hand	poldrack-single-stim	s650	False
54.805	0.1	0.314	55.119	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.314	to_board	poldrack-single-stim	s650	False
55.122	1.0	2.2	55.121	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s650	False
57.325	8.016	8.016	65.341	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	8.016	to_hand	poldrack-single-stim	s650	False
65.342	0.1	0.451	65.793	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.451	to_board	poldrack-single-stim	s650	False
65.796	0.1	2.315	68.111	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.315	to_hand	poldrack-single-stim	s650	False
68.112	0.1	1.546	69.658	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.546	to_board	poldrack-single-stim	s650	False
69.661	0.1	2.181	71.842	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	2.181	to_hand	poldrack-single-stim	s650	False
71.844	0.1	0.452	72.296	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.452	to_board	poldrack-single-stim	s650	False
72.298	0.1	1.33	73.628	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.33	to_hand	poldrack-single-stim	s650	False
73.629	0.1	0.725	74.354	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.725	to_board	poldrack-single-stim	s650	False
74.356	0.1	0.544	74.9	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.544	to_hand	poldrack-single-stim	s650	False
74.901	0.1	0.533	75.434	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.533	to_board	poldrack-single-stim	s650	False
75.438	1.0	2.0	75.437	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s650	False
79.444	8.0	8.0	87.444	1	PA_with_intermediate	test	ward_and_allport	82	0.0	8.0	to_hand	poldrack-single-stim	s650	False
87.445	0.1	0.578	88.023	0	PA_with_intermediate	test	ward_and_allport	71	0.0	0.578	to_board	poldrack-single-stim	s650	False
88.026	0.1	2.986	91.012	0	PA_with_intermediate	test	ward_and_allport	82	0.0	2.986	to_hand	poldrack-single-stim	s650	False
91.013	0.1	0.525	91.538	0	PA_with_intermediate	test	ward_and_allport	89	0.0	0.525	to_board	poldrack-single-stim	s650	False
