onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.511	1.5	6.08	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.569	probe	AY	s358	False
8.652	1.5	10.152	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.5	probe	AX	s358	False
12.793	1.5	14.399	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.606	probe	AX	s358	False
16.799	1.5	18.364	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.565	probe	AX	s358	False
20.805	1.5	22.37	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.565	probe	AX	s358	False
25.218	1.5	26.569	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.351	probe	BX	s358	False
29.359	1.5	30.745	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.386	probe	AX	s358	False
33.908	1.5	35.435	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.527	probe	AX	s358	False
38.186	1.5	39.705	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.519	probe	AX	s358	False
42.192	1.5	43.871	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.679	probe	AX	s358	False
46.879	1.5	48.507	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.628	probe	AX	s358	False
50.885	1.5	52.684	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.799	probe	BX	s358	False
57.066	1.5	58.812	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.746	probe	BY	s358	False
61.208	1.5	62.976	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.768	probe	BY	s358	False
65.348	1.5	67.068	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.72	probe	BX	s358	False
69.356	1.5	70.844	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.488	probe	AX	s358	False
73.77	1.5	75.36	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.59	probe	AX	s358	False
77.913	1.5	79.629	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.716	probe	BX	s358	False
81.918	1.5	83.569	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.651	probe	AX	s358	False
86.332	1.5	87.976	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.644	probe	BY	s358	False
91.019	1.5	92.482	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.463	probe	AX	s358	False
95.297	1.5	97.454	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.157	probe	AX	s358	False
99.305	1.5	100.858	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.553	probe	AX	s358	False
103.312	1.5	104.85	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.538	probe	AX	s358	False
107.863	1.5	109.4	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.537	probe	AX	s358	False
113.228	1.5	114.607	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.379	probe	BX	s358	False
117.234	1.5	118.479	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.245	probe	BY	s358	False
121.511	1.5	123.17	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.659	probe	AX	s358	False
125.789	1.5	127.463	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.674	probe	AX	s358	False
131.154	1.5	132.775	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.621	probe	AX	s358	False
135.432	1.5	137.124	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.692	probe	BX	s358	False
139.573	1.5	140.968	2.452	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.395	probe	BX	s358	False
144.531	1.5	145.92	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.389	probe	AX	s358	False
148.673	1.5	150.373	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.7	probe	BX	s358	False
152.679	1.5	154.303	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.624	probe	AX	s358	False
