onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.514	1.5	5.826	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.312	probe	BY	s631	False
8.657	1.5	10.103	1.5	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.446	probe	AY	s631	False
12.664	1.5	13.978	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.314	probe	AX	s631	False
17.215	1.5	18.471	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.256	probe	BY	s631	False
21.494	1.5	22.751	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.257	probe	BX	s631	False
25.637	1.5	26.995	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.358	probe	AX	s631	False
29.779	1.5	31.159	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.38	probe	AX	s631	False
33.788	1.5	35.135	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s631	False
37.794	1.5	39.361	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.567	probe	AY	s631	False
42.343	1.5	43.743	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.4	probe	AX	s631	False
47.302	1.5	48.665	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.363	probe	AX	s631	False
51.718	1.5	53.055	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.337	probe	AX	s631	False
55.723	1.5	57.064	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s631	False
60.139	1.5	61.374	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.235	probe	BX	s631	False
64.826	1.5	66.231	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.405	probe	AX	s631	False
68.833	1.5	70.154	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.321	probe	BY	s631	False
73.249	1.5	74.532	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.283	probe	BX	s631	False
78.072	1.5	79.376	2.316	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.304	probe	AY	s631	False
82.896	1.5	84.252	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.356	probe	BX	s631	False
87.039	1.5	88.53	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.491	probe	AY	s631	False
91.047	1.5	92.327	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.28	probe	BY	s631	False
95.463	1.5	96.809	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.346	probe	AX	s631	False
99.471	1.5	100.929	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.458	probe	AY	s631	False
104.295	1.5	105.62	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.325	probe	AX	s631	False
108.302	1.5	109.795	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.493	probe	AY	s631	False
113.532	1.5	114.872	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.34	probe	AX	s631	False
117.54	1.5	118.938	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.398	probe	AX	s631	False
121.682	1.5	123.116	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.434	probe	AX	s631	False
125.826	1.5	127.186	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.36	probe	AX	s631	False
130.105	1.5	131.389	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.284	probe	BY	s631	False
134.384	1.5	135.69	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.306	probe	AX	s631	False
138.392	1.5	139.663	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.271	probe	BY	s631	False
143.351	1.5	144.718	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.367	probe	AX	s631	False
147.495	1.5	148.796	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.301	probe	AX	s631	False
151.638	1.5	152.931	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.293	probe	BX	s631	False
155.646	1.5	157.146	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.5	probe	BX	s631	False
159.654	1.5	161.044	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.39	probe	AX	s631	False
164.477	1.5	165.999	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.522	probe	AY	s631	False
169.028	1.5	170.35	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.322	probe	AX	s631	False
175.483	1.5	176.917	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.434	probe	AX	s631	False
190.134	1.5	191.711	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.577	probe	AY	s631	False
194.277	1.5	195.619	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.342	probe	AX	s631	False
198.42	1.5	199.878	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s631	False
202.426	1.5	203.754	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.328	probe	AX	s631	False
206.434	1.5	207.762	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.328	probe	AX	s631	False
210.849	1.5	212.113	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.264	probe	BX	s631	False
214.992	1.5	216.399	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.407	probe	AX	s631	False
219.544	1.5	221.004	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.46	probe	AX	s631	False
223.823	1.5	225.164	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.341	probe	AX	s631	False
227.831	1.5	229.283	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.452	probe	AX	s631	False
232.516	1.5	233.85	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.334	probe	AX	s631	False
236.523	1.5	237.804	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.281	probe	BX	s631	False
242.706	1.5	244.041	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.335	probe	BY	s631	False
246.85	1.5	248.3	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.45	probe	BY	s631	False
250.993	1.5	252.307	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.314	probe	BX	s631	False
255.001	1.5	256.389	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.388	probe	AX	s631	False
259.416	1.5	260.719	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.303	probe	AX	s631	False
263.559	1.5	264.851	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.292	probe	BX	s631	False
267.565	1.5	268.859	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.294	probe	AX	s631	False
271.98	1.5	273.229	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.249	probe	BY	s631	False
276.667	1.5	277.955	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.288	probe	AX	s631	False
280.947	1.5	282.316	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.369	probe	AX	s631	False
284.953	1.5	286.315	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.362	probe	AX	s631	False
288.961	1.5	290.345	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.384	probe	AX	s631	False
293.514	1.5	294.886	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.372	probe	AX	s631	False
298.879	1.5	300.171	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.292	probe	BX	s631	False
302.887	1.5	304.148	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.261	probe	BY	s631	False
307.167	1.5	308.569	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.402	probe	AX	s631	False
311.446	1.5	312.802	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.356	probe	AX	s631	False
316.813	1.5	318.167	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.354	probe	AX	s631	False
321.093	1.5	322.347	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.254	probe	BX	s631	False
325.236	1.5	326.527	2.452	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.291	probe	BX	s631	False
330.195	1.5	331.5	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.305	probe	AX	s631	False
334.339	1.5	335.611	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.272	probe	BX	s631	False
338.346	1.5	339.857	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.511	probe	AX	s631	False
342.489	1.5	343.836	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.347	probe	AX	s631	False
346.632	1.5	347.932	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.3	probe	BY	s631	False
351.318	1.5	352.804	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.486	probe	AX	s631	False
355.325	1.5	356.652	1.636	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.327	probe	AY	s631	False
359.469	1.5	360.826	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.357	probe	AX	s631	False
374.118	1.5	375.493	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.375	probe	AX	s631	False
378.805	1.5	380.245	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.44	probe	AY	s631	False
383.628	1.5	385.152	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.524	probe	AY	s631	False
387.771	1.5	389.091	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.32	probe	BX	s631	False
392.187	1.5	393.578	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.391	probe	AX	s631	False
398.234	1.5	399.61	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.376	probe	BX	s631	False
402.377	1.5	403.6	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.223	probe	BY	s631	False
406.384	1.5	407.799	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.415	probe	AX	s631	False
410.392	1.5	411.752	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.36	probe	AX	s631	False
414.672	1.5	415.918	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.246	probe	BY	s631	False
