onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.519	1.5	5.977	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s567	False
9.204	1.5	10.907	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.703	probe	AY	s567	False
14.028	1.5	15.659	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.631	probe	AY	s567	False
18.172	1.5	19.618	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.446	probe	BX	s567	False
22.589	1.5	24.12	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.531	probe	AX	s567	False
28.637	1.5	30.133	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.496	probe	BX	s567	False
32.783	1.5	34.287	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.504	probe	BY	s567	False
36.794	1.5	38.295	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.501	probe	AX	s567	False
40.805	1.5	42.356	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.551	probe	AX	s567	False
45.094	1.5	46.586	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.492	probe	BY	s567	False
50.056	1.5	51.567	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.511	probe	AX	s567	False
54.472	1.5	55.966	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.494	probe	BX	s567	False
58.618	1.5	60.143	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.525	probe	AX	s567	False
62.627	1.5	64.375	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.748	probe	AX	s567	False
66.771	1.5	68.395	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.624	probe	AX	s567	False
70.916	1.5	72.439	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.523	probe	BY	s567	False
75.873	1.5	77.447	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.574	probe	AX	s567	False
79.884	1.5	81.31	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.426	probe	BY	s567	False
83.892	1.5	85.475	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.583	probe	AX	s567	False
88.036	1.5	89.639	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.603	probe	AX	s567	False
92.18	1.5	93.845	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.665	probe	AY	s567	False
96.329	1.5	97.947	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.618	probe	AX	s567	False
100.343	1.5	102.215	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.872	probe	AX	s567	False
104.354	1.5	105.918	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.564	probe	AX	s567	False
108.634	1.5	110.21	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.576	probe	AX	s567	False
113.325	1.5	114.818	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.493	probe	BX	s567	False
117.608	1.5	119.035	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.427	probe	BY	s567	False
121.624	1.5	123.157	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.533	probe	AX	s567	False
125.632	1.5	127.196	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.564	probe	AX	s567	False
129.777	1.5	131.349	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.572	probe	AY	s567	False
134.467	1.5	136.062	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.595	probe	AY	s567	False
139.292	1.5	140.709	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.417	probe	BX	s567	False
143.436	1.5	144.822	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.386	probe	BX	s567	False
148.126	1.5	149.683	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.557	probe	AY	s567	False
152.676	1.5	154.618	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.942	probe	AX	s567	False
156.959	1.5	158.772	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.813	probe	AX	s567	False
160.971	1.5	162.825	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.854	probe	AX	s567	False
165.661	1.5	167.643	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.982	probe	AY	s567	False
170.623	1.5	172.231	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.608	probe	AX	s567	False
174.772	1.5	176.395	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.623	probe	AX	s567	False
189.707	1.5	191.168	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.461	probe	AX	s567	False
193.989	1.5	195.71	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.721	probe	AX	s567	False
198.003	1.5	199.669	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.666	probe	AY	s567	False
202.966	1.5	204.72	1.772	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.754	probe	AY	s567	False
207.246	1.5	209.104	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.858	probe	AX	s567	False
211.662	1.5	213.405	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.743	probe	AX	s567	False
216.08	1.5	217.927	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.847	probe	AX	s567	False
221.182	1.5	222.773	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.591	probe	AY	s567	False
225.198	1.5	226.664	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.466	probe	BY	s567	False
229.212	1.5	230.619	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.407	probe	BY	s567	False
233.22	1.5	234.777	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.557	probe	AX	s567	False
237.367	1.5	239.029	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.662	probe	BX	s567	False
241.927	1.5	243.753	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.826	probe	AX	s567	False
246.21	1.5	247.612	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.402	probe	BX	s567	False
251.309	1.5	253.238	1.5	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.929	probe	AY	s567	False
255.317	1.5	256.874	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.557	probe	AX	s567	False
260.277	1.5	261.809	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.532	probe	BY	s567	False
264.421	1.5	266.084	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.663	probe	AX	s567	False
268.568	1.5	270.238	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.67	probe	AX	s567	False
272.582	1.5	274.145	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.563	probe	BY	s567	False
276.729	1.5	278.22	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.491	probe	AX	s567	False
280.737	1.5	282.617	2.18	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.88	probe	AY	s567	False
285.428	1.5	287.317	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.889	probe	AX	s567	False
289.436	1.5	291.058	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.622	probe	AX	s567	False
293.852	1.5	294.851	1.636	BY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BY	s567	False
297.996	1.5	299.471	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.475	probe	BY	s567	False
302.14	1.5	303.562	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.422	probe	AX	s567	False
306.288	1.5	308.204	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.916	probe	AX	s567	False
310.303	1.5	311.302	2.044	BY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BY	s567	False
314.858	1.5	316.503	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.645	probe	AY	s567	False
319.549	1.5	321.345	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.796	probe	AY	s567	False
323.696	1.5	325.471	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.775	probe	AY	s567	False
327.979	1.5	330.03	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	1.051	probe	BY	s567	False
331.987	1.5	334.534	1.908	BX	0.0	71.0	dot_pattern_expectancy	89.0	1.547	probe	BX	s567	False
336.404	1.5	338.111	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.707	probe	AX	s567	False
340.958	1.5	341.957	1.636	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s567	False
345.104	1.5	346.716	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.612	probe	AX	s567	False
349.39	1.5	350.894	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.504	probe	AX	s567	False
353.537	1.5	355.238	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.701	probe	BX	s567	False
357.817	1.5	359.519	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.702	probe	AX	s567	False
372.335	1.5	373.334	1.636	BY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BY	s567	False
376.482	1.5	377.481	1.5	AY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	AY	s567	False
380.487	1.5	382.319	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.832	probe	AX	s567	False
385.037	1.5	386.468	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.431	probe	BY	s567	False
389.317	1.5	390.738	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.421	probe	BX	s567	False
393.461	1.5	394.997	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.536	probe	AX	s567	False
397.61	1.5	399.215	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.605	probe	AX	s567	False
401.624	1.5	403.352	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.728	probe	AX	s567	False
405.634	1.5	407.559	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.925	probe	AY	s567	False
410.187	1.5	412.172	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.985	probe	AX	s567	False
415.153	1.5	416.933	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.78	probe	AX	s567	False
419.571	1.5	421.388	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.817	probe	AX	s567	False
423.579	1.5	425.122	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.543	probe	AX	s567	False
427.996	1.5	429.575	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.579	probe	BX	s567	False
432.686	1.5	434.854	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.168	probe	AX	s567	False
436.695	1.5	438.81	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	1.115	probe	BY	s567	False
441.113	1.5	442.653	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.54	probe	BX	s567	False
445.94	1.5	447.891	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.951	probe	AY	s567	False
450.775	1.5	452.515	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.74	probe	BX	s567	False
454.922	1.5	456.561	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.639	probe	AY	s567	False
458.93	1.5	460.553	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.623	probe	BY	s567	False
463.348	1.5	464.872	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.524	probe	AX	s567	False
467.36	1.5	468.359	2.316	AY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	AY	s567	False
472.187	1.5	473.952	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.765	probe	AX	s567	False
476.198	1.5	477.893	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.695	probe	AY	s567	False
481.437	1.5	483.56	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.123	probe	AX	s567	False
485.443	1.5	487.146	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.703	probe	AX	s567	False
489.587	1.5	491.248	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.661	probe	AX	s567	False
493.734	1.5	494.733	1.772	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s567	False
498.017	1.5	499.016	1.772	BY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BY	s567	False
502.302	1.5	503.301	1.5	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s567	False
506.313	1.5	507.669	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.356	probe	BY	s567	False
511.274	1.5	512.741	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.467	probe	AX	s567	False
515.422	1.5	517.142	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.72	probe	AX	s567	False
519.57	1.5	520.938	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.368	probe	BX	s567	False
523.581	1.5	525.042	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.461	probe	BX	s567	False
527.591	1.5	529.049	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.458	probe	AX	s567	False
532.418	1.5	534.16	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.742	probe	AY	s567	False
536.973	1.5	538.983	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.01	probe	AX	s567	False
543.427	1.5	544.956	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.529	probe	AX	s567	False
558.086	1.5	559.69	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.604	probe	AY	s567	False
562.235	1.5	564.122	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.887	probe	AX	s567	False
566.384	1.5	568.049	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.665	probe	AX	s567	False
570.398	1.5	572.084	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.686	probe	AX	s567	False
574.406	1.5	575.934	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.528	probe	AX	s567	False
578.823	1.5	580.513	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.69	probe	BX	s567	False
