onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.512	1.5	5.511	1.772	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s524	False
8.791	1.5	10.408	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.617	probe	AX	s524	False
12.797	1.5	14.339	2.452	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.542	probe	AY	s524	False
17.755	1.5	19.309	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.554	probe	AY	s524	False
22.035	1.5	23.429	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.394	probe	AX	s524	False
26.449	1.5	27.939	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.49	probe	AX	s524	False
30.864	1.5	33.073	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.209	probe	AX	s524	False
35.96	1.5	37.542	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.582	probe	AY	s524	False
39.967	1.5	42.224	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	1.257	probe	BY	s524	False
43.976	1.5	45.488	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.512	probe	BY	s524	False
47.982	1.5	50.232	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.25	probe	AX	s524	False
52.124	1.5	53.4	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.276	probe	BX	s524	False
56.673	1.5	57.672	1.772	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s524	False
60.953	1.5	61.952	2.588	BX	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BX	s524	False
66.048	1.5	68.302	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	1.254	probe	AY	s524	False
70.056	1.5	71.518	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.462	probe	AX	s524	False
75.016	1.5	76.415	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.399	probe	BY	s524	False
