onset	duration	movement_onset	block_duration	condition	correct	correct_response	experiment_exp_id	key_press	response_time	trial_id	trial_type	worker_id	junk
4.521	1.5	6.3	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.779	probe	AY	s570	False
8.671	1.5	10.264	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.593	probe	AX	s570	False
12.816	1.5	14.403	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.587	probe	AX	s570	False
16.828	1.5	18.253	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.425	probe	AX	s570	False
20.842	1.5	22.293	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.451	probe	AX	s570	False
25.263	1.5	26.541	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.278	probe	BX	s570	False
29.41	1.5	30.861	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.451	probe	AX	s570	False
33.965	1.5	35.413	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.448	probe	AX	s570	False
38.248	1.5	39.627	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.379	probe	AX	s570	False
42.267	1.5	43.747	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.48	probe	AX	s570	False
46.954	1.5	48.425	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.471	probe	AX	s570	False
50.963	1.5	52.305	3.676	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.342	probe	BX	s570	False
57.147	1.5	58.406	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.259	probe	BY	s570	False
61.292	1.5	62.612	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.32	probe	BY	s570	False
65.444	1.5	66.68	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.236	probe	BX	s570	False
69.454	1.5	70.866	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.412	probe	AX	s570	False
73.873	1.5	75.284	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.411	probe	AX	s570	False
78.02	1.5	79.63	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.61	probe	BX	s570	False
82.029	1.5	83.535	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.506	probe	AX	s570	False
86.45	1.5	87.984	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.534	probe	BY	s570	False
91.141	1.5	92.567	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.426	probe	AX	s570	False
95.421	1.5	96.981	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.56	probe	AX	s570	False
99.433	1.5	101.041	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.608	probe	AX	s570	False
103.445	1.5	104.83	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.385	probe	AX	s570	False
108.0	1.5	109.406	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.406	probe	AX	s570	False
113.371	1.5	114.661	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.29	probe	BX	s570	False
117.377	1.5	118.984	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.607	probe	BY	s570	False
121.659	1.5	123.049	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.39	probe	AX	s570	False
125.95	1.5	127.553	2.86	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.603	probe	AX	s570	False
131.324	1.5	132.869	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.545	probe	AX	s570	False
135.609	1.5	137.024	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.415	probe	BX	s570	False
139.756	1.5	141.101	2.452	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.345	probe	BX	s570	False
144.719	1.5	146.265	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.546	probe	AX	s570	False
148.866	1.5	150.88	1.5	BX	0.0	71.0	dot_pattern_expectancy	89.0	1.014	probe	BX	s570	False
152.88	1.5	154.401	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.521	probe	AX	s570	False
157.032	1.5	158.405	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.373	probe	AX	s570	False
161.182	1.5	162.573	2.18	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.391	probe	BY	s570	False
165.875	1.5	167.358	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.483	probe	AX	s570	False
169.883	1.5	171.726	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.843	probe	AY	s570	False
174.027	1.5	175.538	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.511	probe	AX	s570	False
188.689	1.5	190.649	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.96	probe	AX	s570	False
193.38	1.5	195.031	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.651	probe	AY	s570	False
198.204	1.5	199.998	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.794	probe	AY	s570	False
202.354	1.5	203.913	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.559	probe	BX	s570	False
206.775	1.5	208.231	3.54	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.456	probe	AX	s570	False
212.823	1.5	214.466	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.643	probe	BX	s570	False
216.97	1.5	218.322	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.352	probe	BY	s570	False
220.981	1.5	222.482	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.501	probe	AX	s570	False
224.992	1.5	226.483	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.491	probe	AX	s570	False
229.278	1.5	230.892	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.614	probe	BY	s570	False
234.248	1.5	235.646	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.398	probe	AX	s570	False
238.665	1.5	240.586	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.921	probe	BX	s570	False
242.817	1.5	244.224	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.407	probe	AX	s570	False
246.825	1.5	248.306	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.481	probe	AX	s570	False
250.975	1.5	252.548	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.573	probe	AX	s570	False
255.124	1.5	256.478	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.354	probe	BY	s570	False
260.087	1.5	261.647	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.56	probe	AX	s570	False
264.098	1.5	265.706	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.608	probe	BY	s570	False
268.115	1.5	269.114	1.636	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s570	False
272.261	1.5	273.806	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.545	probe	AX	s570	False
276.412	1.5	278.0	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.588	probe	AY	s570	False
280.555	1.5	282.226	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.671	probe	AX	s570	False
284.568	1.5	286.027	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.459	probe	AX	s570	False
288.579	1.5	290.001	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.422	probe	AX	s570	False
292.859	1.5	294.252	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.393	probe	AX	s570	False
297.55	1.5	298.826	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.276	probe	BX	s570	False
301.833	1.5	303.298	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.465	probe	BY	s570	False
305.843	1.5	307.377	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.534	probe	AX	s570	False
309.852	1.5	311.357	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.505	probe	AX	s570	False
314.001	1.5	316.199	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	1.198	probe	AY	s570	False
318.692	1.5	320.322	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.63	probe	AY	s570	False
323.521	1.5	325.088	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.567	probe	BX	s570	False
327.666	1.5	329.007	2.18	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.341	probe	BX	s570	False
332.362	1.5	333.96	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.598	probe	AY	s570	False
336.92	1.5	338.367	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.447	probe	AX	s570	False
341.205	1.5	342.731	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.526	probe	AX	s570	False
345.218	1.5	346.784	2.18	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.566	probe	AX	s570	False
349.907	1.5	351.744	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.837	probe	AY	s570	False
354.872	1.5	356.953	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.081	probe	AX	s570	False
359.022	1.5	360.602	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.58	probe	AX	s570	False
373.957	1.5	375.338	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.381	probe	AX	s570	False
378.241	1.5	379.777	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.536	probe	AX	s570	False
382.25	1.5	383.895	2.452	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.645	probe	AY	s570	False
387.212	1.5	388.605	1.772	AY	0.0	71.0	dot_pattern_expectancy	89.0	0.393	probe	AY	s570	False
391.498	1.5	393.18	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.682	probe	AX	s570	False
395.919	1.5	397.612	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.693	probe	AX	s570	False
400.336	1.5	401.901	2.588	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.565	probe	AX	s570	False
405.437	1.5	407.261	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.824	probe	AY	s570	False
409.447	1.5	411.2	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.753	probe	BY	s570	False
413.459	1.5	415.018	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.559	probe	BY	s570	False
417.472	1.5	419.031	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.559	probe	AX	s570	False
421.619	1.5	422.908	2.044	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.289	probe	BX	s570	False
426.174	1.5	427.633	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.459	probe	AX	s570	False
430.462	1.5	431.721	2.588	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.259	probe	BX	s570	False
435.561	1.5	437.217	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.656	probe	AY	s570	False
439.569	1.5	441.092	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.523	probe	AX	s570	False
444.535	1.5	445.809	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.274	probe	BY	s570	False
448.684	1.5	450.1	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.416	probe	AX	s570	False
452.834	1.5	454.352	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.518	probe	AX	s570	False
456.845	1.5	458.233	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.388	probe	BY	s570	False
460.995	1.5	462.573	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.578	probe	AX	s570	False
465.01	1.5	466.809	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.799	probe	AY	s570	False
469.701	1.5	471.341	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.64	probe	AX	s570	False
473.711	1.5	475.171	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.46	probe	AX	s570	False
478.131	1.5	479.793	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.662	probe	BY	s570	False
482.28	1.5	483.82	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.54	probe	BY	s570	False
486.425	1.5	488.103	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.678	probe	AX	s570	False
490.579	1.5	492.095	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.516	probe	AX	s570	False
494.593	1.5	495.592	2.044	BY	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BY	s570	False
499.15	1.5	500.93	2.18	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.78	probe	AY	s570	False
503.839	1.5	505.576	1.636	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.737	probe	AY	s570	False
507.984	1.5	509.838	1.772	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.854	probe	AY	s570	False
512.266	1.5	513.569	1.5	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.303	probe	BY	s570	False
516.276	1.5	517.759	1.908	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.483	probe	BX	s570	False
520.695	1.5	521.694	2.044	AX	0.0	89.0	dot_pattern_expectancy	-1.0	n/a	probe	AX	s570	False
525.253	1.5	526.757	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.504	probe	AX	s570	False
529.4	1.5	530.762	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.362	probe	AX	s570	False
533.688	1.5	535.179	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.491	probe	AX	s570	False
537.835	1.5	539.164	1.772	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.329	probe	BX	s570	False
542.123	1.5	543.666	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.543	probe	AX	s570	False
556.649	1.5	557.968	1.636	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.319	probe	BY	s570	False
560.798	1.5	562.493	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.695	probe	AY	s570	False
564.815	1.5	566.386	2.044	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.571	probe	AX	s570	False
569.369	1.5	570.67	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.301	probe	BY	s570	False
573.656	1.5	575.035	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.379	probe	BX	s570	False
577.804	1.5	579.381	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.577	probe	AX	s570	False
581.951	1.5	583.355	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.404	probe	AX	s570	False
585.964	1.5	587.375	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.411	probe	AX	s570	False
589.975	1.5	591.545	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.57	probe	AY	s570	False
594.53	1.5	596.134	2.452	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.604	probe	AX	s570	False
599.49	1.5	600.984	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.494	probe	AX	s570	False
603.909	1.5	605.451	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.542	probe	AX	s570	False
607.923	1.5	609.38	1.908	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.457	probe	AX	s570	False
612.339	1.5	613.338	2.18	BX	0.0	71.0	dot_pattern_expectancy	-1.0	n/a	probe	BX	s570	False
617.034	1.5	618.791	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.757	probe	AX	s570	False
621.043	1.5	622.356	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.313	probe	BY	s570	False
625.459	1.5	626.954	2.316	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.495	probe	BX	s570	False
630.287	1.5	631.852	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.565	probe	AY	s570	False
635.113	1.5	636.501	1.636	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.388	probe	BX	s570	False
639.265	1.5	640.876	1.5	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.611	probe	AY	s570	False
643.273	1.5	644.626	1.908	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.353	probe	BY	s570	False
647.694	1.5	649.075	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.381	probe	AX	s570	False
651.709	1.5	653.63	2.316	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.921	probe	AY	s570	False
656.535	1.5	658.425	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.89	probe	AX	s570	False
660.544	1.5	662.188	2.724	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.644	probe	AY	s570	False
665.786	1.5	667.387	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.601	probe	AX	s570	False
669.797	1.5	671.271	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.474	probe	AX	s570	False
673.941	1.5	675.391	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.45	probe	AX	s570	False
678.086	1.5	679.61	1.772	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.524	probe	AX	s570	False
682.371	1.5	683.688	1.772	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.317	probe	BY	s570	False
686.659	1.5	688.616	1.5	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.957	probe	AX	s570	False
690.673	1.5	692.091	2.452	BY	1.0	71.0	dot_pattern_expectancy	71.0	0.418	probe	BY	s570	False
695.638	1.5	697.358	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.72	probe	AX	s570	False
699.788	1.5	701.377	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.589	probe	AX	s570	False
703.935	1.5	705.283	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.348	probe	BX	s570	False
707.945	1.5	709.252	1.5	BX	1.0	71.0	dot_pattern_expectancy	71.0	0.307	probe	BX	s570	False
711.956	1.5	713.471	2.316	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.515	probe	AX	s570	False
716.785	1.5	718.665	2.044	AY	1.0	71.0	dot_pattern_expectancy	71.0	0.88	probe	AY	s570	False
721.342	1.5	723.458	3.948	AX	1.0	89.0	dot_pattern_expectancy	89.0	1.116	probe	AX	s570	False
727.8	1.5	729.38	1.636	AX	1.0	89.0	dot_pattern_expectancy	89.0	0.58	probe	AX	s570	False
